Location,Context
Ukraine,Des mercenaires étrangers et des soldats ukrainiens s’emparent d’hôtels particuliers à Kherson | L’armée russe anéantit l’artillerie de Kiev qui bombardait la région de Belgorod – vidéo | Mission de paix africaine: le Kremlin confirme la date des entretiens avec Poutine
Niger,"Le Nigeria prévoit de dépasser le quota pétrolier de l'OPEP | Ces producteurs africains du pétrole sont dans le top 20 mondial | Le Nigeria se lance dans la production de ""nouveau pétrole"""
Ouganda,"L’Ouganda décrypte les enjeux du prochain sommet Russie-Afrique | L’initiative africaine portera ses fruits pour résoudre le conflit en Ukraine, espère l’Ouganda | L'Ouganda autorise les greffes d'organes humains"
Washington,"Un ""doigt d’honneur"" à Washington de la part d’un allié clé au Moyen-Orient | Quels sont les intérêts des États-Unis dans le règlement du conflit entre Bakou et Erevan? | Obus à l'uranium pour Kiev: ""les céréales seront aussi contaminées"", avertit Moscou"
Allemagne,"""Pas de scénario sûr"": l’Allemagne craint pour son industrie cet hiver sans gaz russe | La Russie commémore le début de la Grande Guerre patriotique | Ce pays européen facilite l'immigration des travailleurs hors UE"
Zaporojié,"Plus de 1.100 soldats, nombre d’armements et d’équipements occidentaux: les pertes de Kiev en 24h | Les forces russes lancent une contre-attaque à la jonction des régions de Donetsk et de Zaporojié | Su-25 abattu et trois Leopard détruits: bilan des dernières 24h en Ukraine"
Kherson,Des mercenaires étrangers et des soldats ukrainiens s’emparent d’hôtels particuliers à Kherson | L’Ukraine cible des réfugiés avec des missiles français dans la région de Kherson | Le vice-Premier ministre russe évite une frappe de Storm Shadow dans la région de Kherson
Donbass,"Armes laser russes | ""Tout pour l'ennemi, rien pour soi!"": un char russe T-90 en combat dans le Donbass – vidéo | Des chars russes T-80BV en combat dans la zone de l’opération spéciale – vidéo"
État,"Tebboune à Moscou: ""Nous avons des relations historiques"" | Alger et Moscou comptent signer des accords pour approfondir leurs relations, selon Tebboune | Un ""doigt d’honneur"" à Washington de la part d’un allié clé au Moyen-Orient"
Royaume-Uni,"Un pistolet faisant partie du patrimoine algérien mis aux enchères au Royaume-Uni – photo | La situation de l’armée ukrainienne a pris un virage à 180 degrés, selon un ex-agent britannique | ""Washington et l’Otan ont nourri encore une autre cellule terroriste, le régime de Kiev"""
Kenya,Scandal diplomatique: l'ambassadeur roumain au Kenya compare les Africains aux singes | L’urgence d’une monnaie unique africaine prônée par le Kenya | La Russie envisage de fournir 34.000 tonnes d’engrais gratis à un autre pays africain
Maroc,Le Maroc appelle l'Afrique à unir ses efforts pour le développement économique du continent | Ces pays africains qui vont adapter les technologies russes de production de l’insuline | Aïd el-Kebir 2023: la date révélée
Afrique du Sud,Moscou réagit à la demande de Macron de se rendre au sommet des BRICS en Afrique du Sud | Emmanuel Macron au sommet des BRICS? Une demande inattendue pour l’Afrique du Sud | Ce pays subsaharien redevient le numéro 1 de la production d’or en Afrique
Occident,"L’Occident a demandé à Kiev de ""tuer autant de Russes que possible"", admet un ministre ukrainien | Institutions internationales: L’Occident en fait un outil ""de gouvernance globale"", selon un expert | La contre-offensive ukrainienne ""à grande échelle"" sur 4 axes est en cours, selon Poutine"
Donetsk,"Plus de 1.100 soldats, nombre d’armements et d’équipements occidentaux: les pertes de Kiev en 24h | L'armée russe frappe des réserves de Kiev et un dépôt d'armes étrangères: bilan de la Défense | Les forces russes lancent une contre-attaque à la jonction des régions de Donetsk et de Zaporojié"
Kremlin,Mission de paix africaine: le Kremlin confirme la date des entretiens avec Poutine | Le Kremlin révèle certains objectifs de Kiev dans la destruction du barrage de Kakhovka | Attaques de la région de Belgorod: le Kremlin dénonce l'absence de réaction à l'Occident
Syrie,"Crash d’un hélicoptère militaire US en Syrie, 22 soldats blessés | Washington s’appuie sur des terroristes pour créer de nouvelles forces en Syrie, selon Lavrov | Raïssi à Damas, première visite d'un président iranien en Syrie depuis 2010"
Burkina Faso,Ces quatre pays africains recevront 10 millions de dollars de Moscou | Plus de 32 millions de dollars collectés pour lutter contre le terrorisme au Burkina Faso | Ce pays africain couve la crise humanitaire la plus négligée au monde
Chine,Un pays d’Afrique songe à commercer en devises locales avec certains des BRICS | Des soldats marocains ont appris à manier des drones chinois portant des bombes et missiles guidés | Voici quel pays va devenir le plus grand importateur d’hydrogène au monde d’ici 2030
Moscou,"L'Algérie invite les entreprises russes à accroître leurs investissements dans le pays | Tebboune à Moscou: ""Nous avons des relations historiques"" | Moscou réagit à la demande de Macron de se rendre au sommet des BRICS en Afrique du Sud"
Afrique,"Franc CFA: ""Nous sommes encore colonisés"", selon un industriel ivoirien | Moscou réagit à la demande de Macron de se rendre au sommet des BRICS en Afrique du Sud | ""L’isolement de la Russie est-il possible? Non. Cela a déjà été prouvé"", selon Moscou"
Istanbul,"Pipeline d’ammoniac saboté: plus ""aucun intérêt"" pour Moscou de prolonger l’accord céréalier | L’Occident ""avide"" a détourné l’accord sur les céréales, selon un ministre nicaraguayen | Hypocrisie, double standard: les accords céréaliers d’Istanbul tanguent selon un diplomate russe"
Turquie,"Explosion dans une usine de production de missiles en Turquie, plusieurs morts | Moscou fait savoir quand les BRICS discuteront de leur élargissement | Après la réélection d’Erdogan, une ""politique plus pro-occidentale"" en Turquie?"
États-Unis,"Un ""doigt d’honneur"" à Washington de la part d’un allié clé au Moyen-Orient | Quels sont les intérêts des États-Unis dans le règlement du conflit entre Bakou et Erevan? | Les USA auraient déployé environ 150 ogives nucléaires dans cinq pays européens - image"
France,"Franc CFA: ""Nous sommes encore colonisés"", selon un industriel ivoirien | Moscou réagit à la demande de Macron de se rendre au sommet des BRICS en Afrique du Sud | Fini de jouer: la France aimerait voir l’Ukraine négocier après sa contre-offensive"
Kiev,"Kiev a perdu environ 7.500 soldats depuis le début de sa contre-offensive, selon la Défense russe | L’armée russe anéantit l’artillerie de Kiev qui bombardait la région de Belgorod – vidéo | Ces deux erreurs de Kiev et ses alliés leur auraient été fatales en vue de la contre-offensive"
Paris,Moscou réagit à la demande de Macron de se rendre au sommet des BRICS en Afrique du Sud | Fini de jouer: la France aimerait voir l’Ukraine négocier après sa contre-offensive | Paris aurait acté son départ progressif de l’Afrique? Que nenni pour deux activistes africains
Éthiopie,Ces quatre pays africains recevront 10 millions de dollars de Moscou | Danses folkloriques et expo à l’ambassade russe en Éthiopie pour la Journée de la Russie - images | Ce pays subsaharien a gagné plus d'un milliard de dollars grâce aux exportations de café
Inde,Un pays d’Afrique songe à commercer en devises locales avec certains des BRICS | La fortune de ce milliardaire africain augmente de 501 millions de dollars en 24 heures | Au moins 288 morts dans une catastrophe ferroviaire en Inde - vidéos
Mali,"Poutine s’entretient par téléphone avec le Président de la transition malienne | Les pays ""qui ont pratiqué l’esclavage ou la colonisation"" n’ont pas de leçon à donner, selon Bamako | Mali: le train reliant Bamako à l'ouest du pays reprend du service après 5 ans de fermeture"
Algérie,"L'Algérie invite les entreprises russes à accroître leurs investissements dans le pays | Alger et Moscou comptent signer des accords pour approfondir leurs relations, selon Tebboune | ""Les sociétés russes prêtes à transférer les technologies"" pharmaceutiques en Algérie"
Pékin,"Pékin soutient l’idée de l’Afrique pour régler pacifiquement le conflit en Ukraine | Ce détail montre bien qui est qui dans les négociations de Blinken avec Xi à Pékin - photo | Biden qualifié Xi Jinping de ""dictateur"", Pékin proteste"
